,lr,p,b0,bi,trunk,best_epoch,R2,MSE
179,0.01,4.0,8.0,8.0,12.0,1.0,-5503.07177734375,56373.3359375
180,0.01,4.0,12.0,2.0,4.0,2.0,-8813.396484375,39172.15625
181,0.01,4.0,12.0,2.0,8.0,2.0,-7809.1318359375,587564.875
182,0.01,4.0,12.0,2.0,12.0,2.0,-8775.2626953125,119637.0234375
183,0.01,4.0,12.0,4.0,4.0,2.0,-7483.80322265625,29380.341796875
184,0.01,4.0,12.0,4.0,8.0,2.0,-2880.298095703125,22915.619140625
185,0.01,4.0,12.0,4.0,12.0,2.0,-3783.876220703125,106038.8671875
186,0.01,4.0,12.0,8.0,4.0,2.0,-5170.94580078125,34361.30078125
187,0.01,4.0,12.0,8.0,8.0,2.0,-4181.74951171875,30232.509765625
188,0.01,4.0,12.0,8.0,12.0,2.0,-4053.041015625,21120.99609375
189,0.01,8.0,4.0,2.0,4.0,2.0,-43162.75390625,193900.703125
190,0.01,8.0,4.0,2.0,8.0,2.0,-59028.25390625,232983.171875
191,0.01,8.0,4.0,2.0,12.0,2.0,-38991.5703125,225811.90625
192,0.01,8.0,4.0,4.0,4.0,2.0,-42636.0703125,235198.359375
193,0.01,8.0,4.0,4.0,8.0,2.0,-9774.25,152769.40625
194,0.01,8.0,4.0,4.0,12.0,2.0,-18755.7578125,169087.125
195,0.01,8.0,4.0,8.0,4.0,2.0,-68839.9296875,971758.75
196,0.01,8.0,4.0,8.0,8.0,1.0,-19482.1640625,219404.859375
197,0.01,8.0,4.0,8.0,12.0,2.0,-20518.205078125,305196.71875
198,0.01,8.0,8.0,2.0,4.0,1.0,-25558.880859375,163856.0625
199,0.01,8.0,8.0,2.0,8.0,2.0,-31968.1015625,153056.03125
200,0.01,8.0,8.0,2.0,12.0,1.0,-15242.9990234375,86844.1484375
201,0.01,8.0,8.0,4.0,4.0,2.0,-22824.7109375,148434.453125
202,0.01,8.0,8.0,4.0,8.0,2.0,-43699.8125,225590.4375
203,0.01,8.0,8.0,4.0,12.0,2.0,-126212.34375,2339861.25
204,0.01,8.0,8.0,8.0,4.0,2.0,-6439.34326171875,192015.734375
205,0.01,8.0,8.0,8.0,8.0,2.0,-36143.109375,246571.953125
206,0.01,8.0,8.0,8.0,12.0,1.0,-13160.921875,53852.8671875
207,0.01,8.0,12.0,2.0,4.0,2.0,-68486.96875,276271.9375
208,0.01,8.0,12.0,2.0,8.0,2.0,-67210.875,289372.65625
209,0.01,8.0,12.0,2.0,12.0,1.0,-49394.8203125,200694.09375
210,0.01,8.0,12.0,4.0,4.0,2.0,-25148.17578125,194293.609375
211,0.01,8.0,12.0,4.0,8.0,2.0,-59141.55859375,617944.9375
212,0.01,8.0,12.0,4.0,12.0,1.0,-26804.302734375,102219.65625
213,0.01,8.0,12.0,8.0,4.0,2.0,-19795.19921875,141944.203125
214,0.01,8.0,12.0,8.0,8.0,1.0,-11526.904296875,93642.734375
215,0.01,8.0,12.0,8.0,12.0,2.0,-16177.63671875,89996.234375
216,0.01,12.0,4.0,2.0,4.0,2.0,-310310.03125,1859318.375
217,0.01,12.0,4.0,2.0,8.0,2.0,-103633.3984375,772380.5
218,0.01,12.0,4.0,2.0,12.0,2.0,-79793.9765625,377616.4375
219,0.01,12.0,4.0,4.0,4.0,2.0,-157270.046875,594302.5
220,0.01,12.0,4.0,4.0,8.0,2.0,-149551.84375,588329.5
221,0.01,12.0,4.0,4.0,12.0,2.0,-40612.80078125,172223.40625
222,0.01,12.0,4.0,8.0,4.0,2.0,-100157.78125,1068849.5
223,0.01,12.0,4.0,8.0,8.0,2.0,-49517.66015625,1652219.75
224,0.01,12.0,4.0,8.0,12.0,2.0,-20327.90625,321607.78125
225,0.01,12.0,8.0,2.0,4.0,2.0,-134984.078125,557572.5
226,0.01,12.0,8.0,2.0,8.0,2.0,-140592.6875,569461.5625
227,0.01,12.0,8.0,2.0,12.0,2.0,-117744.796875,608028.8125
228,0.01,12.0,8.0,4.0,4.0,2.0,-103310.3046875,679939.125
229,0.01,12.0,8.0,4.0,8.0,2.0,-48696.01953125,481649.8125
230,0.01,12.0,8.0,4.0,12.0,2.0,-50917.1640625,196884.3125
231,0.01,12.0,8.0,8.0,4.0,2.0,-81409.203125,581994.5625
232,0.01,12.0,8.0,8.0,8.0,2.0,-31163.796875,439202.0625
233,0.01,12.0,8.0,8.0,12.0,1.0,-57031.62890625,382071.65625
234,0.01,12.0,12.0,2.0,4.0,2.0,-40638.6953125,580172.875
235,0.01,12.0,12.0,2.0,8.0,1.0,-117249.78125,411076.21875
236,0.01,12.0,12.0,2.0,12.0,2.0,-20773.171875,96027.25
237,0.01,12.0,12.0,4.0,4.0,2.0,-199776.9375,1746653.75
238,0.01,12.0,12.0,4.0,8.0,2.0,-102218.921875,498021.375
239,0.01,12.0,12.0,4.0,12.0,2.0,-74959.203125,469179.0
240,0.01,12.0,12.0,8.0,4.0,2.0,-81465.75,312614.84375
241,0.01,12.0,12.0,8.0,8.0,2.0,-40208.58984375,349294.53125
242,0.01,12.0,12.0,8.0,12.0,2.0,-59009.30078125,436985.9375
