,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
146,0.001,16,8,4,16,0.985022036,0.954704005,0.92528787,0.891917721
147,0.001,16,8,8,4,0.986190663,0.957501381,0.919241873,0.895388446
148,0.001,16,8,8,8,0.98772918,0.95877053,0.926640474,0.895394236
149,0.001,16,8,8,16,0.989032254,0.955195252,0.92417363,0.902825567
150,0.001,16,8,16,4,0.987388081,0.956731792,0.923560602,0.890332862
151,0.001,16,8,16,8,0.98601503,0.96363972,0.93392756,0.90054389
152,0.001,16,8,16,16,0.983529985,0.955780922,0.921615136,0.898513055
153,0.001,16,16,4,4,0.987101728,0.955271199,0.921820597,0.897749641
154,0.001,16,16,4,8,0.977834529,0.948704749,0.920897474,0.892658801
155,0.001,16,16,4,16,0.981804062,0.958034178,0.924296287,0.895300747
156,0.001,16,16,8,4,0.987905859,0.95873709,0.928917599,0.896950993
157,0.001,16,16,8,8,0.984519558,0.952167788,0.923169747,0.897334729
158,0.001,16,16,8,16,0.98265338,0.94730317,0.915280034,0.888831926
159,0.001,16,16,16,4,0.978032462,0.948288435,0.922601054,0.894719023
160,0.001,16,16,16,8,0.98721637,0.952205271,0.927159731,0.901418123
161,0.001,16,16,16,16,0.987616565,0.956619796,0.925130598,0.894332189
162,0.01,4,4,4,4,0.978211627,0.955257415,0.92145621,0.890331124
163,0.01,4,4,4,8,0.993112528,0.961525744,0.92421698,0.900496421
164,0.01,4,4,4,16,0.977292414,0.954239634,0.919682662,0.893205832
165,0.01,4,4,8,4,0.98153227,0.95459294,0.928728412,0.892285991
166,0.01,4,4,8,8,0.981251595,0.948882277,0.922244321,0.892809496
167,0.01,4,4,8,16,0.982760775,0.952211911,0.921601543,0.892860956
168,0.01,4,4,16,4,0.976737902,0.946921883,0.917212906,0.886892643
169,0.01,4,4,16,8,0.98621455,0.949897399,0.918048934,0.895498347
170,0.01,4,4,16,16,0.987864553,0.953489697,0.93117231,0.895284172
171,0.01,4,8,4,4,0.988090293,0.956088259,0.922096202,0.89234393
172,0.01,4,8,4,8,0.991419095,0.961657602,0.929702391,0.898000214
173,0.01,4,8,4,16,0.983570562,0.962223143,0.929887749,0.894551025
174,0.01,4,8,8,4,0.984920265,0.949876011,0.927205,0.899133261
175,0.01,4,8,8,8,0.980921287,0.958592284,0.925487934,0.892204274
176,0.01,4,8,8,16,0.983329427,0.959762662,0.929080906,0.900803998
177,0.01,4,8,16,4,0.976753814,0.949519953,0.923733917,0.895603001
178,0.01,4,8,16,8,0.980670465,0.955559281,0.92307507,0.890490159
179,0.01,4,8,16,16,0.984854854,0.948768685,0.923944884,0.8906623
180,0.01,4,16,4,4,0.979661921,0.948168686,0.918955297,0.891153625
181,0.01,4,16,4,8,0.987353831,0.958068211,0.9330409,0.89378078
182,0.01,4,16,4,16,0.982487774,0.946921279,0.917344168,0.887690568
183,0.01,4,16,8,4,0.983537974,0.945299379,0.921533005,0.885607167
184,0.01,4,16,8,8,0.987145744,0.958647533,0.924015598,0.896392749
185,0.01,4,16,8,16,0.982192955,0.949183803,0.922452977,0.88902688
186,0.01,4,16,16,4,0.98119097,0.958202081,0.928015481,0.891406471
187,0.01,4,16,16,8,0.988342695,0.950824536,0.921947353,0.896114441
188,0.01,4,16,16,16,0.979355666,0.947058143,0.921058889,0.890346761
189,0.01,8,4,4,4,0.98332087,0.954187837,0.923374158,0.888522115
190,0.01,8,4,4,8,0.98549956,0.954293338,0.919479777,0.895866205
191,0.01,8,4,4,16,0.991907028,0.953809044,0.924007747,0.898723117
192,0.01,8,4,8,4,0.985915936,0.956707585,0.926923057,0.890622756
193,0.01,8,4,8,8,0.988198822,0.957677664,0.921358614,0.895660995
194,0.01,8,4,8,16,0.988652876,0.956654512,0.922509516,0.893516546
195,0.01,8,4,16,4,0.982131138,0.952434759,0.92289792,0.891749459
196,0.01,8,4,16,8,0.990036659,0.959630645,0.932101351,0.894459811
197,0.01,8,4,16,16,0.980335349,0.957701729,0.929089608,0.891712603
198,0.01,8,8,4,4,0.980031948,0.948984931,0.921250631,0.888771522
199,0.01,8,8,4,8,0.978809998,0.947634669,0.922429387,0.89173755
200,0.01,8,8,4,16,0.984201365,0.958530514,0.922059393,0.892421346
201,0.01,8,8,8,4,0.980661619,0.956907609,0.927883381,0.899134434
202,0.01,8,8,8,8,0.992671082,0.959684914,0.926265448,0.894287409
203,0.01,8,8,8,16,0.988553954,0.959209633,0.926737321,0.895202099
204,0.01,8,8,16,4,0.981148525,0.9524129,0.927565953,0.894368372
205,0.01,8,8,16,8,0.986684955,0.955113478,0.928924157,0.896334412
206,0.01,8,8,16,16,0.983842709,0.950850513,0.918324067,0.891649962
207,0.01,8,16,4,4,0.985616458,0.947599539,0.916925847,0.887189981
208,0.01,8,16,4,8,0.989522995,0.955646594,0.924864491,0.900637445
209,0.01,8,16,4,16,0.986483987,0.958454465,0.928989337,0.893617402
210,0.01,8,16,8,4,0.979363492,0.951052451,0.922919945,0.894326547
211,0.01,8,16,8,8,0.989229792,0.960725024,0.922025413,0.897796392
212,0.01,8,16,8,16,0.980219084,0.957189932,0.922350782,0.895874213
213,0.01,8,16,16,4,0.988353567,0.96324019,0.927480506,0.896917988
214,0.01,8,16,16,8,0.987436138,0.950737687,0.92334503,0.888557621
215,0.01,8,16,16,16,0.974996707,0.946401656,0.917384038,0.887813427
216,0.01,16,4,4,4,0.985613562,0.951510457,0.923235014,0.890771853
217,0.01,16,4,4,8,0.990613826,0.958261169,0.932204092,0.894230766
218,0.01,16,4,4,16,0.993324601,0.958967131,0.926835029,0.897327102
219,0.01,16,4,8,4,0.986023398,0.958993794,0.924098583,0.892276782
220,0.01,16,4,8,8,0.983160647,0.954170519,0.924063839,0.900063184
221,0.01,16,4,8,16,0.984836061,0.949212887,0.919934244,0.888599521
222,0.01,16,4,16,4,0.980557728,0.954301681,0.91933566,0.889806705
223,0.01,16,4,16,8,0.985270319,0.961811282,0.921974228,0.898699136
224,0.01,16,4,16,16,0.984091249,0.956169895,0.922493084,0.896794642
225,0.01,16,8,4,4,0.984529167,0.952533601,0.926761956,0.901157092
226,0.01,16,8,4,8,0.982374943,0.956343996,0.92333487,0.891942981
227,0.01,16,8,4,16,0.978077036,0.950328175,0.922493802,0.890096805
228,0.01,16,8,8,4,0.977737901,0.955749438,0.918817309,0.889325841
229,0.01,16,8,8,8,0.986250456,0.957275178,0.929158427,0.899001378
230,0.01,16,8,8,16,0.978764916,0.957713413,0.92169094,0.892359057
231,0.01,16,8,16,4,0.980024003,0.952931038,0.922889138,0.89196872
232,0.01,16,8,16,8,0.984060896,0.95146651,0.921866125,0.887135063
233,0.01,16,8,16,16,0.984051134,0.963229501,0.92426769,0.897809125
234,0.01,16,16,4,4,0.988565744,0.958427542,0.925541563,0.898397364
235,0.01,16,16,4,8,0.991559662,0.956709324,0.927687681,0.897485437
236,0.01,16,16,4,16,0.981210397,0.951014592,0.927614655,0.896995839
237,0.01,16,16,8,4,0.988861305,0.961109507,0.932803959,0.899927766
238,0.01,16,16,8,8,0.980243817,0.956127608,0.918666284,0.891979428
239,0.01,16,16,8,16,0.985224654,0.958472893,0.929376905,0.893188417
240,0.01,16,16,16,4,0.981287081,0.951362351,0.925412342,0.894161108
241,0.01,16,16,16,8,0.980280805,0.955591528,0.917799624,0.888686873
242,0.01,16,16,16,16,0.985855698,0.953793599,0.9210664,0.893264206
